lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]
808	0.001666	0.001971	3.24E-06	2.14E-05	0.000152225	1
809	0.00165779	0.001980653	3.36E-06	2.16E-05	0.000151679	1
810	0.0016511	0.0019894	3.51E-06	2.17E-05	0.00015098	1
811	0.001644409	0.001997625	3.68E-06	2.19E-05	0.000150132	1
812	0.0016391	0.0020079	3.87E-06	2.21E-05	0.0001492	1
813	0.001632636	0.002017181	4.06E-06	2.23E-05	0.000148227	1
814	0.001627	0.0020263	4.24E-06	2.22E-05	0.00014725	1
815	0.001620547	0.002032788	4.42E-06	2.27E-05	0.000146301	1
816	0.0016148	0.0020429	4.56E-06	2.29E-05	0.000145358	1
817	0.001607903	0.002057422	4.70E-06	2.33E-05	0.000144495	1
818	0.0016028	0.002076	4.84E-06	2.35E-05	0.000143734	1
819	0.00159867	0.002092494	5.00E-06	2.35E-05	0.000143084	1
820	0.0015974	0.0021092	5.18E-06	2.41E-05	0.000142546	1
821	0.001596535	0.002124914	5.41E-06	2.43E-05	0.000142028	1
822	0.0015971	0.0021423	5.64E-06	2.44E-05	0.000141636	1
823	0.0015966	0.002158659	5.85E-06	2.52E-05	0.000141382	1
824	0.0015968	0.0021755	6.02E-06	2.59E-05	0.000141266	1
825	0.001596099	0.002189315	6.13E-06	2.63E-05	0.00014127	1
826	0.0015964	0.0022022	6.13E-06	2.80E-05	0.000141362	1
827	0.001595849	0.002212105	6.07E-06	2.90E-05	0.000141502	1
828	0.0015962	0.0022225	5.98E-06	3.07E-05	0.000141643	1
829	0.001595559	0.002231831	5.86E-06	3.19E-05	0.000141732	1
830	0.0015958	0.0022427	5.76E-06	3.36E-05	0.000141724	1
831	0.001595199	0.00225229	5.70E-06	3.48E-05	0.000141501	1
832	0.0015955	0.002263	5.66E-06	3.65E-05	0.000141163	1
833	0.001594838	0.002272359	5.65E-06	3.77E-05	0.000140738	1
834	0.0015951	0.0022832	5.64E-06	3.81E-05	0.000140265	1
835	0.001594549	0.002293275	5.63E-06	3.91E-05	0.000139786	1
836	0.0015949	0.0023053	5.58E-06	4.01E-05	0.000139279	1
837	0.001594261	0.002316546	5.51E-06	4.01E-05	0.000138859	1
838	0.0015945	0.0023293	5.40E-06	4.05E-05	0.000138564	1
839	0.00159389	0.002340671	5.26E-06	4.08E-05	0.00013841	1
840	0.0015942	0.0023532	5.08E-06	4.13E-05	0.000138383	1
841	0.00159357	0.002364376	4.86E-06	4.17E-05	0.000138475	1
842	0.0015938	0.0023772	4.64E-06	4.16E-05	0.00013859	1
843	0.001593104	0.002388908	4.45E-06	4.18E-05	0.000138649	1
844	0.0015933	0.0024011	4.30E-06	4.20E-05	0.000138578	1
845	0.001592597	0.002409951	4.20E-06	4.23E-05	0.000138321	1
846	0.0015928	0.0024177	4.20E-06	4.26E-05	0.000137665	1
847	0.0015921	0.002422048	4.24E-06	4.27E-05	0.000136871	1
848	0.0015923	0.0024269	4.30E-06	4.34E-05	0.000136037	1
849	0.0015916	0.00243063	4.36E-06	4.37E-05	0.000135267	1
850	0.0015918	0.0024361	4.38E-06	4.40E-05	0.000134653	1
851	0.001591069	0.00244017	4.30E-06	4.39E-05	0.000134355	1
852	0.0015913	0.0024453	4.20E-06	4.46E-05	0.000134267	1
853	0.001590718	0.002448887	4.10E-06	4.45E-05	0.000134346	1
854	0.0015908	0.0024546	4.04E-06	4.44E-05	0.000134527	1
855	0.001589718	0.00246063	4.04E-06	4.45E-05	0.000134735	1
856	0.0015903	0.0024702	4.16E-06	4.51E-05	0.000134725	1
857	0.0015915	0.002480164	4.35E-06	4.51E-05	0.000134688	1
858	0.0015944	0.0024923	4.57E-06	4.53E-05	0.000134652	1
859	0.001596186	0.002502805	4.80E-06	4.54E-05	0.000134654	1
860	0.0015987	0.0025144	5.01E-06	4.56E-05	0.00013473	1
861	0.001600431	0.002524586	5.13E-06	4.61E-05	0.000134946	1
862	0.0016031	0.0025365	5.22E-06	4.61E-05	0.000135264	1
863	0.001604725	0.00254715	5.32E-06	4.62E-05	0.000135673	1
864	0.0016073	0.0025586	5.45E-06	4.60E-05	0.000136151	1
865	0.001609098	0.002567095	5.64E-06	4.68E-05	0.000136673	1
866	0.0016116	0.0025752	5.96E-06	4.65E-05	0.000137078	1
867	0.001612929	0.002580351	6.34E-06	4.71E-05	0.000137542	1
868	0.001616	0.0025863	6.77E-06	4.71E-05	0.000138099	1
869	0.001619776	0.002590952	7.21E-06	4.80E-05	0.000138779	1
870	0.0016253	0.0025973	7.66E-06	4.85E-05	0.000139597	1
871	0.001629648	0.002602168	8.02E-06	4.87E-05	0.000140571	1
872	0.0016347	0.0026084	8.39E-06	4.86E-05	0.000141646	1
873	0.001638947	0.002613111	8.81E-06	4.92E-05	0.000142777	1
874	0.0016442	0.0026194	9.29E-06	4.97E-05	0.000143913	1
875	0.001648497	0.002624494	9.87E-06	5.00E-05	0.00014501	1
876	0.0016537	0.0026314	1.06E-05	5.01E-05	0.00014589	1
877	0.001657936	0.002637055	1.15E-05	5.10E-05	0.000146742	1
878	0.0016632	0.0026443	1.24E-05	5.15E-05	0.000147629	1
879	0.001667621	0.002650029	1.34E-05	5.25E-05	0.000148616	1
880	0.0016727	0.0026572	1.44E-05	5.25E-05	0.00014977	1
881	0.001676269	0.002662853	1.53E-05	5.27E-05	0.000151143	1
882	0.0016805	0.0026701	1.63E-05	5.42E-05	0.000152771	1
883	0.001683872	0.002675906	1.73E-05	5.45E-05	0.000154674	1
884	0.0016883	0.002683	1.85E-05	5.56E-05	0.000156848	1
885	0.001691759	0.00268805	1.97E-05	5.57E-05	0.000159276	1
886	0.0016961	0.002694	2.12E-05	5.61E-05	0.000161845	1
887	0.001699419	0.002697942	2.27E-05	5.62E-05	0.00016463	1
888	0.0017038	0.0027032	2.44E-05	5.63E-05	0.000167621	1
889	0.001707456	0.002706989	2.60E-05	5.77E-05	0.000170801	1
890	0.0017122	0.0027124	2.77E-05	5.97E-05	0.000174153	1
891	0.00171593	0.002716293	2.93E-05	5.94E-05	0.00017755	1
892	0.0017206	0.0027217	3.08E-05	5.92E-05	0.000181107	1
893	0.001724318	0.00272554	3.22E-05	6.01E-05	0.000184824	1
894	0.001729	0.0027309	3.37E-05	5.99E-05	0.000188684	1
895	0.00173267	0.002734723	3.52E-05	6.09E-05	0.000192648	1
896	0.0017373	0.0027401	3.67E-05	6.06E-05	0.000196691	1
897	0.001740972	0.002743924	3.82E-05	6.14E-05	0.000200676	1
898	0.0017457	0.0027493	3.97E-05	6.31E-05	0.000204494	1
899	0.001749494	0.002753133	4.11E-05	6.40E-05	0.000208038	1
900	0.0017542	0.0027585	4.25E-05	6.58E-05	0.000211219	1
901	0.001757653	0.002762284	0.00004368	6.61E-05	0.000213772	1
902	0.0017616	0.0027677	0.00004459	6.70E-05	0.000215948	1
903	0.001763992	0.002771618	0.00004641	6.77E-05	0.000217819	1
904	0.0017671	0.0027769	0.00004823	6.82E-05	0.000219466	1
905	0.001769258	0.002780124	0.00005005	6.91E-05	0.000220954	1
906	0.0017725	0.0027843	0.00005187	7.00E-05	0.00022241	1
907	0.001774761	0.002786378	0.0000546	7.08E-05	0.000223731	1
908	0.001778	0.0027898	0.00005733	7.15E-05	0.000224867	1
909	0.001780234	0.002791718	0.00006097	7.26E-05	0.000225752	1
910	0.0017835	0.0027953	0.0000637	7.37E-05	0.000226316	1
911	0.001785761	0.002797304	0.00006734	7.45E-05	0.000226345	1
912	0.0017889	0.0028009	0.00007098	7.58E-05	0.000226021	1
913	0.001790616	0.00280292	0.00007462	7.72E-05	0.000225393	1
914	0.0017923	0.0028064	0.00007826	7.87E-05	0.000224528	1
915	0.00179168	0.002808054	0.0000819	8.00E-05	0.000223505	1
916	0.0017915	0.002811	0.00008554	8.19E-05	0.000222398	1
917	0.001790563	0.002812104	0.00008827	8.39E-05	0.000221291	1
918	0.0017908	0.0028147	0.000091	8.59E-05	0.000220249	1
919	0.00178993	0.002815778	0.00009373	8.80E-05	0.000219316	1
920	0.0017899	0.0028184	0.00009737	9.07E-05	0.000218515	1
921	0.001788804	0.00281932	0.0001001	9.36E-05	0.000217748	1
922	0.0017892	0.002822	0.00010283	9.65E-05	0.000217123	1
923	0.001789026	0.002823308	0.00010647	9.99E-05	0.000216622	1
924	0.0017883	0.0028257	0.0001092	0.000103593	0.0002162	1
925	0.001783701	0.002825228	0.00011193	0.000107623	0.000215786	1
926	0.0017784	0.0028248	0.00011466	0.000111767	0.000215276	1
927	0.001772372	0.002821515	0.00011648	0.000116327	0.000214574	1
928	0.0017686	0.0028193	0.0001183	0.000121254	0.000213574	1
929	0.001764487	0.002815664	0.00011921	0.000126412	0.00021218	1
930	0.0017588	0.0028138	0.00011921	0.000132168	0.000210321	1
931	0.001747035	0.00281027	0.0001183	0.000137695	0.000207776	1
932	0.0017322	0.0028082	0.00011648	0.000143866	0.000204806	1
933	0.001714932	0.002804544	0.00011375	0.000150359	0.000201515	1
934	0.0016983	0.0028027	0.00011102	0.000157036	0.000198028	1
935	0.001680849	0.002799746	0.00010647	0.000163898	0.000194464	1
936	0.0016645	0.002799	0.00010283	0.00017099	0.000191117	1
937	0.001647199	0.002797205	0.00009737	0.000178427	0.000187833	1
938	0.0016306	0.0027972	0.00009191	0.00018621	0.000184631	1
939	0.001613003	0.002795515	0.00008554	0.0001942	0.000181538	1
940	0.0015967	0.0027953	0.00008008	0.00020272	0.000178607	1
941	0.001579901	0.002793528	0.00007371	0.000211331	0.000175365	1
942	0.0015628	0.0027935	0.00006734	0.000221209	0.000172685	1
943	0.001542333	0.00279199	0.00006188	0.000231226	0.000170863	1
944	0.0015209	0.0027917	0.00005733	0.000241841	0.000170118	1
945	0.001498095	0.00278902	0.00005187	0.000253307	0.000170536	1
946	0.0014761	0.002787	0.00004732	0.000265074	0.00017271	1
