<<<<<<< HEAD
lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]		
671.0000000000000000	0.0063343324764271	0.0006723124228528	0.0000027060020994	0.0000037301878507	0.0002981992985109	1.0000000000000000		
672.0000000000000000	0.0062372999999943	0.0006677499999994	0.0000027056595644	0.0000038683429562	0.0002953051864101	1.0000000000000000		
673.0000000000000000	0.0061395933231660	0.0006624365644029	0.0000027112711500	0.0000039374205090	0.0002925887371681	1.0000000000000000		
674.0000000000000000	0.0060503999999944	0.0006576199999994	0.0000027185072753	0.0000040986014655	0.0002901160815522	1.0000000000000000		
675.0000000000000000	0.0059631257478577	0.0006530286942266	0.0000027227200000	0.0000038222912544	0.0002879234693875	1.0000000000000000		
676.0000000000000000	0.0058816999999946	0.0006493299999994	0.0000027180267450	0.0000038222912544	0.0002858930024521	1.0000000000000000		
677.0000000000000000	0.0057961530240338	0.0006455881714064	0.0000027034079064	0.0000039374205090	0.0002841571381789	1.0000000000000000		
678.0000000000000000	0.0057130999999948	0.0006428799999994	0.0000026775693677	0.0000039604463599	0.0002826895642257	1.0000000000000000		
679.0000000000000000	0.0056270405601163	0.0006406620233234	0.0000026409079748	0.0000039604463599	0.0002814269378143	1.0000000000000000		
680.0000000000000000	0.0055443999999950	0.0006391999999994	0.0000025955930000	0.0000040755756146	0.0002802755102038	1.0000000000000000		
681.0000000000000000	0.0054585291521017	0.0006371840612384	0.0000025383379001	0.0000042137307202	0.0002791231695561	1.0000000000000000		
682.0000000000000000	0.0053757999999951	0.0006355099999994	0.0000024836434357	0.0000043749116767	0.0002778570762994	1.0000000000000000		
683.0000000000000000	0.0052899084557667	0.0006336614771321	0.0000024390006031	0.0000042137307202	0.0002763761753850	1.0000000000000000		
684.0000000000000000	0.0052072999999953	0.0006318299999994	0.0000024106426813	0.0000041676790183	0.0002746113924456	1.0000000000000000		
685.0000000000000000	0.0051219359729459	0.0006291932140368	0.0000024024000000	0.0000043288599748	0.0002725408163263	1.0000000000000000		
686.0000000000000000	0.0050385999999954	0.0006281499999994	0.0000024220858397	0.0000044439892295	0.0002698434222320	1.0000000000000000		
687.0000000000000000	0.0049516081873942	0.0006291932140368	0.0000024570248416	0.0000046051701860	0.0002670892935042	1.0000000000000000		
688.0000000000000000	0.0048699999999955	0.0006318299999994	0.0000024989544390	0.0000046972735897	0.0002645128424235	1.0000000000000000		
689.0000000000000000	0.0047918343848683	0.0006336614771321	0.0000025380462444	0.0000048814803971	0.0002623249464089	1.0000000000000000		
690.0000000000000000	0.0047247999999956	0.0006355099999994	0.0000025643800000	0.0000047202994406	0.0002606734693875	1.0000000000000000		
691.0000000000000000	0.0046625905488958	0.0006371778259257	0.0000025642868623	0.0000050656872046	0.0002598701410465	1.0000000000000000		
692.0000000000000000	0.0046062999999958	0.0006391999999994	0.0000025390398305	0.0000051808164592	0.0002595184613209	1.0000000000000000		
693.0000000000000000	0.0045463018676580	0.0006406983244757	0.0000024879047111	0.0000051577906083	0.0002593942108518	1.0000000000000000		
694.0000000000000000	0.0044877999999959	0.0006428799999994	0.0000024135298595	0.0000052498940120	0.0002592286932253	1.0000000000000000		
